,id,deviceid,speed,lead_speed,servertime,attributes
30,35328020,197,0.0,0.0,2018-04-01 14:00:47,"{""event"":35,""sat"":8,""hdop"":1.4,""odometer"":26277925,""runtime"":""73901803"",""status"":""0000"",""adc1"":13,""adc2"":0,""adc3"":0,""battery"":2654,""power"":961,""distance"":0.0,""totalDistance"":6602876.73,""ip"":""43.245.8.103"",""motion"":false}"
31,35328021,74,0.0,0.0,2018-04-01 14:00:48,"{""power"":12.66,""distance"":0.0,""totalDistance"":4.541135277E7,""ip"":""119.160.65.121"",""motion"":false,""ignition"":false}"
32,35328023,191,0.0,0.0,2018-04-01 14:00:49,"{""event"":35,""sat"":10,""hdop"":0.7,""odometer"":26517415,""runtime"":""39377325"",""status"":""0000"",""adc1"":17,""adc2"":0,""adc3"":0,""battery"":2655,""power"":959,""distance"":0.0,""totalDistance"":1.111186483E7,""ip"":""43.245.8.23"",""motion"":false,""ignition"":false}"
33,35328024,24,0.0,0.0,2018-04-01 14:00:49,"{""status"":133,""ignition"":false,""charge"":true,""blocked"":true,""battery"":6,""rssi"":4,""distance"":0.0,""totalDistance"":1.914308881E7,""ip"":""43.245.8.84"",""motion"":false}"
34,35328028,199,0.0,0.0,2018-04-01 14:00:51,"{""event"":35,""sat"":8,""hdop"":1.3,""odometer"":23974778,""runtime"":""67704881"",""status"":""0000"",""adc1"":8,""adc2"":0,""adc3"":0,""battery"":2647,""power"":905,""distance"":0.0,""totalDistance"":1254375.52,""ip"":""103.228.156.52"",""motion"":false,""ignition"":false}"
35,35328030,185,0.0,0.0,2018-04-01 14:00:51,"{""event"":35,""sat"":10,""hdop"":1.1,""odometer"":17421879,""runtime"":""57176181"",""status"":""0000"",""adc1"":48,""adc2"":0,""adc3"":0,""battery"":2661,""power"":950,""distance"":0.0,""totalDistance"":4570059.58,""ip"":""103.228.156.83"",""motion"":false,""ignition"":false}"
36,35328032,271,0.0,0.0,2018-04-01 14:00:52,"{""sat"":10,""ignition"":true,""event"":4,""archive"":false,""distance"":6.15,""totalDistance"":2.478865038E7,""ip"":""119.160.65.10"",""motion"":false}"
37,35328033,8,0.0,0.0,2018-04-01 14:00:52,"{""event"":35,""sat"":9,""hdop"":0.9,""odometer"":37678445,""runtime"":""47567348"",""status"":""0200"",""adc1"":13,""adc2"":14,""adc3"":0,""battery"":2636,""power"":956,""eventData"":""00000001"",""fuel"":0.0,""distance"":0.92,""totalDistance"":1.915928579E7,""ip"":""43.245.8.32"",""motion"":false,""ignition"":false}"
38,35328037,11,0.0,0.0,2018-04-01 14:00:55,"{""event"":35,""sat"":11,""hdop"":0.9,""odometer"":123262168,""runtime"":""61999563"",""status"":""0200"",""adc1"":0,""adc2"":752,""adc3"":0,""battery"":2615,""power"":955,""eventData"":""00000001"",""fuel"":24.23,""distance"":0.95,""totalDistance"":3.618456616E7,""ip"":""43.245.8.22"",""motion"":false,""ignition"":false}"
39,35328039,33,0.0,0.0,2018-04-01 14:00:56,"{""power"":12.33,""distance"":0.0,""totalDistance"":2.755206891E7,""ip"":""103.228.156.108"",""motion"":false,""ignition"":false}"
40,35328043,194,0.0,0.0,2018-04-01 14:00:58,"{""event"":35,""sat"":6,""hdop"":1.8,""odometer"":66979163,""runtime"":""73879148"",""status"":""0000"",""adc1"":19,""adc2"":0,""adc3"":0,""battery"":2655,""power"":994,""distance"":0.0,""totalDistance"":1.48952669E7,""ip"":""43.245.8.25"",""motion"":false,""ignition"":false}"
41,35328044,182,0.0,0.0,2018-04-01 14:00:59,"{""event"":35,""sat"":10,""hdop"":1.3,""odometer"":33728764,""runtime"":""73166102"",""status"":""0000"",""adc1"":22,""adc2"":0,""adc3"":0,""battery"":2661,""power"":976,""distance"":0.0,""totalDistance"":5631159.31,""ip"":""43.245.8.10"",""motion"":false,""ignition"":false}"
42,35328049,37,0.0,0.0,2018-04-01 14:01:00,"{""power"":12.66,""distance"":0.0,""totalDistance"":2.701188953E7,""ip"":""43.245.8.112"",""motion"":false,""ignition"":false}"
43,35328051,72,0.0,0.0,2018-04-01 14:01:01,"{""power"":12.72,""distance"":0.0,""totalDistance"":1.601577531E7,""ip"":""43.245.8.103"",""motion"":false,""ignition"":false}"
44,35328052,205,0.0,0.0,2018-04-01 14:01:02,"{""event"":35,""sat"":11,""hdop"":0.7,""odometer"":253972,""runtime"":""2033545"",""status"":""0000"",""adc1"":5,""adc2"":6,""adc3"":0,""battery"":2600,""power"":957,""eventData"":""00000001"",""fuel"":0.0,""distance"":3.09,""totalDistance"":575654.02,""ip"":""119.160.96.181"",""motion"":false,""ignition"":false}"
45,35328054,283,0.0,0.0,2018-04-01 14:01:03,"{""event"":35,""sat"":10,""hdop"":1.0,""odometer"":1335655,""runtime"":""1140181"",""status"":""0000"",""adc1"":6,""adc2"":6,""adc3"":0,""battery"":2586,""power"":971,""eventData"":""00000001"",""fuel"":0.0,""distance"":1.2,""totalDistance"":2078940.86,""ip"":""103.228.156.8"",""motion"":false,""ignition"":false}"
46,35328057,52,0.0,0.0,2018-04-01 14:01:04,"{""power"":12.69,""distance"":0.0,""totalDistance"":2.459935221E7,""ip"":""43.245.8.101"",""motion"":false,""ignition"":false}"
47,35328058,200,0.0,0.0,2018-04-01 14:01:05,"{""event"":35,""sat"":3,""hdop"":4.1,""odometer"":44007411,""runtime"":""74057258"",""status"":""0000"",""adc1"":9,""adc2"":0,""adc3"":0,""battery"":2628,""power"":939,""distance"":0.0,""totalDistance"":6103705.45,""ip"":""43.245.8.60"",""motion"":false,""ignition"":true}"
48,35328059,198,0.0,0.0,2018-04-01 14:01:06,"{""event"":35,""sat"":11,""hdop"":0.7,""odometer"":43250034,""runtime"":""76347076"",""status"":""0000"",""adc1"":33,""adc2"":0,""adc3"":0,""battery"":2662,""power"":972,""distance"":0.0,""totalDistance"":9655096.05,""ip"":""103.228.156.86"",""motion"":false,""ignition"":false}"
49,35328060,193,0.0,0.0,2018-04-01 14:01:07,"{""event"":35,""sat"":10,""hdop"":0.7,""odometer"":58087961,""runtime"":""69393269"",""status"":""0000"",""adc1"":13,""adc2"":0,""adc3"":0,""battery"":2642,""power"":965,""distance"":0.0,""totalDistance"":1.928164892E7,""ip"":""43.245.8.15"",""motion"":false,""ignition"":false}"
50,35328061,52,0.0,0.0,2018-04-01 14:01:07,"{""status"":5,""ignition"":false,""charge"":true,""blocked"":false,""battery"":6,""rssi"":4,""distance"":0.0,""totalDistance"":2.459935221E7,""ip"":""43.245.8.101"",""motion"":false}"
51,35328065,253,0.0,0.0,2018-04-01 14:01:08,"{""status"":68,""ignition"":false,""charge"":true,""blocked"":false,""battery"":6,""rssi"":4,""distance"":0.0,""totalDistance"":3.246287236E7,""ip"":""119.160.96.164"",""motion"":false}"
52,35328069,191,0.0,0.0,2018-04-01 14:01:09,"{""event"":35,""sat"":10,""hdop"":0.7,""odometer"":26517415,""runtime"":""39377345"",""status"":""0000"",""adc1"":18,""adc2"":0,""adc3"":0,""battery"":2654,""power"":959,""distance"":0.0,""totalDistance"":1.111186483E7,""ip"":""43.245.8.23"",""motion"":false,""ignition"":false}"
53,35328071,253,0.0,0.0,2018-04-01 14:01:09,"{""sat"":8,""ignition"":false,""event"":3,""archive"":false,""distance"":9.34,""totalDistance"":3.24628817E7,""ip"":""119.160.96.164"",""motion"":false}"
54,35328076,73,0.0,0.0,2018-04-01 14:01:10,"{""power"":24.6,""distance"":0.0,""totalDistance"":1.851736511E7,""ip"":""119.160.65.70"",""motion"":false,""ignition"":false}"
55,35328077,53,0.0,0.0,2018-04-01 14:01:10,"{""event"":35,""sat"":11,""hdop"":0.7,""odometer"":9374512,""runtime"":""16405002"",""status"":""0000"",""adc1"":25,""adc2"":21,""adc3"":0,""battery"":2604,""power"":982,""eventData"":""00000001"",""fuel"":0.0,""distance"":5.25,""totalDistance"":9885464.22,""ip"":""119.160.65.150"",""motion"":false,""ignition"":false}"
56,35328078,62,0.0,0.0,2018-04-01 14:01:10,"{""status"":70,""ignition"":true,""charge"":true,""blocked"":false,""battery"":5,""rssi"":4,""distance"":0.0,""totalDistance"":3.33240307E7,""ip"":""43.245.8.53"",""motion"":false}"
57,35328080,199,0.0,0.0,2018-04-01 14:01:11,"{""event"":35,""sat"":9,""hdop"":1.3,""odometer"":23974778,""runtime"":""67704901"",""status"":""0000"",""adc1"":8,""adc2"":0,""adc3"":0,""battery"":2646,""power"":906,""distance"":0.0,""totalDistance"":1254375.52,""ip"":""103.228.156.52"",""motion"":false,""ignition"":false}"
58,35328083,8,0.0,0.0,2018-04-01 14:01:12,"{""event"":35,""sat"":9,""hdop"":0.9,""odometer"":37678445,""runtime"":""47567368"",""status"":""0200"",""adc1"":14,""adc2"":14,""adc3"":0,""battery"":2637,""power"":957,""eventData"":""00000001"",""fuel"":0.0,""distance"":1.11,""totalDistance"":1.91592869E7,""ip"":""43.245.8.32"",""motion"":false,""ignition"":false}"
59,35328084,35,0.0,0.0,2018-04-01 14:01:14,"{""power"":12.23,""distance"":0.0,""totalDistance"":3.096609154E7,""ip"":""43.245.8.110"",""motion"":false,""ignition"":false}"
60,35328088,11,0.0,0.0,2018-04-01 14:01:15,"{""event"":35,""sat"":10,""hdop"":0.8,""odometer"":123262168,""runtime"":""61999583"",""status"":""0200"",""adc1"":0,""adc2"":752,""adc3"":0,""battery"":2614,""power"":955,""eventData"":""00000001"",""fuel"":24.23,""distance"":0.48,""totalDistance"":3.618456664E7,""ip"":""43.245.8.22"",""motion"":false,""ignition"":false}"
61,35328089,62,0.0,0.0,2018-04-01 14:01:15,"{""power"":13.870000000000001,""distance"":0.0,""totalDistance"":3.33240307E7,""ip"":""43.245.8.53"",""motion"":false,""ignition"":true}"
62,35328094,182,0.0,0.0,2018-04-01 14:01:19,"{""event"":35,""sat"":10,""hdop"":1.1,""odometer"":33728764,""runtime"":""73166122"",""status"":""0000"",""adc1"":22,""adc2"":0,""adc3"":0,""battery"":2661,""power"":976,""distance"":0.0,""totalDistance"":5631159.31,""ip"":""43.245.8.10"",""motion"":false,""ignition"":false}"
63,35328095,188,0.0,0.0,2018-04-01 14:01:19,"{""event"":35,""sat"":10,""hdop"":0.8,""odometer"":27379147,""runtime"":""58846262"",""status"":""0000"",""adc1"":22,""adc2"":0,""adc3"":0,""battery"":2646,""power"":978,""distance"":0.0,""totalDistance"":5849132.31,""ip"":""43.245.8.41"",""motion"":false,""ignition"":false}"
64,35328099,283,0.0,0.0,2018-04-01 14:01:24,"{""event"":35,""sat"":10,""hdop"":1.0,""odometer"":1335655,""runtime"":""1140201"",""status"":""0000"",""adc1"":6,""adc2"":7,""adc3"":0,""battery"":2587,""power"":970,""eventData"":""00000001"",""fuel"":0.0,""distance"":0.81,""totalDistance"":2078941.67,""ip"":""103.228.156.8"",""motion"":false,""ignition"":false}"
65,35328103,198,0.0,0.0,2018-04-01 14:01:26,"{""event"":35,""sat"":11,""hdop"":0.7,""odometer"":43250034,""runtime"":""76347096"",""status"":""0000"",""adc1"":33,""adc2"":0,""adc3"":0,""battery"":2662,""power"":973,""distance"":0.0,""totalDistance"":9655096.05,""ip"":""103.228.156.86"",""motion"":false,""ignition"":false}"
66,35328108,28,0.0,0.0,2018-04-01 14:01:28,"{""power"":12.55,""distance"":0.0,""totalDistance"":2.988315131E7,""ip"":""43.245.8.27"",""motion"":false,""ignition"":false}"
67,35328110,189,0.0,0.0,2018-04-01 14:01:28,"{""event"":35,""sat"":0,""hdop"":2.0,""odometer"":36418859,""runtime"":""67408755"",""status"":""0000"",""adc1"":16,""adc2"":0,""adc3"":0,""battery"":2666,""power"":983,""distance"":0.0,""totalDistance"":5767612.05,""ip"":""103.228.156.106"",""motion"":false,""ignition"":true}"
68,35328111,24,0.0,0.0,2018-04-01 14:01:28,"{""power"":12.61,""distance"":0.0,""totalDistance"":1.914308881E7,""ip"":""43.245.8.84"",""motion"":false,""ignition"":false}"
69,35328114,191,0.0,0.0,2018-04-01 14:01:29,"{""event"":35,""sat"":11,""hdop"":0.8,""odometer"":26517415,""runtime"":""39377365"",""status"":""0000"",""adc1"":18,""adc2"":0,""adc3"":0,""battery"":2654,""power"":959,""distance"":0.0,""totalDistance"":1.111186483E7,""ip"":""43.245.8.23"",""motion"":false,""ignition"":false}"
70,35328117,199,0.0,0.0,2018-04-01 14:01:31,"{""event"":35,""sat"":8,""hdop"":1.3,""odometer"":23974778,""runtime"":""67704921"",""status"":""0000"",""adc1"":8,""adc2"":0,""adc3"":0,""battery"":2647,""power"":905,""distance"":0.0,""totalDistance"":1254375.52,""ip"":""103.228.156.52"",""motion"":false,""ignition"":false}"
71,35328119,8,0.0,0.0,2018-04-01 14:01:32,"{""event"":35,""sat"":9,""hdop"":0.9,""odometer"":37678445,""runtime"":""47567388"",""status"":""0200"",""adc1"":13,""adc2"":13,""adc3"":0,""battery"":2636,""power"":956,""eventData"":""00000001"",""fuel"":0.0,""distance"":1.02,""totalDistance"":1.915928792E7,""ip"":""43.245.8.32"",""motion"":false,""ignition"":false}"
72,35328120,20,0.0,0.0,2018-04-01 14:01:33,"{""power"":12.61,""distance"":0.0,""totalDistance"":1.362913552E7,""ip"":""43.245.8.115"",""motion"":false,""ignition"":false}"
73,35328123,228,0.0,0.0,2018-04-01 14:01:34,"{""sat"":12,""status"":76,""ignition"":false,""charge"":true,""blocked"":false,""alarm"":""vibration"",""battery"":6,""rssi"":4,""distance"":4.55,""totalDistance"":4.16210479E7,""ip"":""119.160.96.23"",""motion"":false}"
